IOU img(b (34).png)  : 0.9532509645554038
Precision, Recall img(b (34).png)  : 0.9898824556480529, 0.9626299990903854
IOU img(b (123).png)  : 0.9285280644627187
Precision, Recall img(b (123).png)  : 0.963794683776352, 0.9620861211185452
IOU img(a88.png)  : 0.929541963687921
Precision, Recall img(a88.png)  : 0.9635435803225147, 0.963425585762103
IOU img(a33.png)  : 0.9214842148421484
Precision, Recall img(a33.png)  : 0.9702974571514916, 0.9482322166905747
IOU img(b (56).png)  : 0.9413958012482775
Precision, Recall img(b (56).png)  : 0.9810778847778341, 0.9588045901097993
IOU img(b (12).png)  : 0.9525790595759801
Precision, Recall img(b (12).png)  : 0.9948972491534073, 0.9572559288243521
IOU img(b (117).png)  : 0.8861292262152537
Precision, Recall img(b (117).png)  : 0.9645572169360117, 0.9159535306210259
IOU img(b (11).png)  : 0.9546095954844779
Precision, Recall img(b (11).png)  : 0.9877865149740672, 0.9660116913831829
IOU img(b (107).png)  : 0.8546637093873636
Precision, Recall img(b (107).png)  : 0.9628241491085899, 0.8838297740445712
IOU img(b (8).png)  : 0.9552743507780097
Precision, Recall img(b (8).png)  : 0.9686319680694329, 0.9857695872635079
IOU img(b (141).png)  : 0.9382972411747256
Precision, Recall img(b (141).png)  : 0.9878543915050144, 0.9492480576211277
IOU img(b (124).png)  : 0.9526914820365345
Precision, Recall img(b (124).png)  : 0.9935372138210695, 0.9586322138897946
IOU img(b (137).png)  : 0.9516512195938033
Precision, Recall img(b (137).png)  : 0.99130404475193, 0.9596625896246309
IOU img(b (55).png)  : 0.961656999559716
Precision, Recall img(b (55).png)  : 0.9924336711511488, 0.968759642085776
IOU img(a96.png)  : 0.9158741770299926
Precision, Recall img(a96.png)  : 0.9750778816199377, 0.9378277153558052
IOU img(b (103).png)  : 0.9475144420796595
Precision, Recall img(b (103).png)  : 0.9798380757742493, 0.9663552850885693
IOU img(b (64).png)  : 0.9602731472183169
Precision, Recall img(b (64).png)  : 0.9895072331794946, 0.9701519793843719
IOU img(b (33).png)  : 0.9398373057142451
Precision, Recall img(b (33).png)  : 0.9872053872053872, 0.9514263463036142
IOU img(b (83).png)  : 0.9287367203113496
Precision, Recall img(b (83).png)  : 0.975204329578087, 0.9511984917856181
IOU img(b (1).png)  : 0.9556558622723251
Precision, Recall img(b (1).png)  : 0.9847606581899776, 0.9700011511453897
IOU img(b (20).png)  : 0.956398595173742
Precision, Recall img(b (20).png)  : 0.9823946003457906, 0.9730766697404821
IOU img(a43.png)  : 0.9507023933402705
Precision, Recall img(a43.png)  : 0.9776618512573568, 0.9718122590081106
IOU img(a64.png)  : 0.9390907568653717
Precision, Recall img(a64.png)  : 0.9546769937867052, 0.9829119747623012
IOU img(a014.png)  : 0.9348681334693283
Precision, Recall img(a014.png)  : 0.9532488114104596, 0.9797912954950369
IOU img(a40.png)  : 0.929056394623805
Precision, Recall img(a40.png)  : 0.9410526315789474, 0.9864646167426806
IOU img(b (87).png)  : 0.926190272672878
Precision, Recall img(b (87).png)  : 0.9514004741417157, 0.972186084069804
IOU img(a75.png)  : 0.9587663766545922
Precision, Recall img(a75.png)  : 0.9805421874459024, 0.9773613555578562
IOU img(a53.png)  : 0.9431602727016015
Precision, Recall img(a53.png)  : 0.9657565368251477, 0.9757929883138564
IOU img(b (140).png)  : 0.9315951877405263
Precision, Recall img(b (140).png)  : 0.9757780440861387, 0.953648495173197
IOU img(b (132).png)  : 0.9199513381995134
Precision, Recall img(b (132).png)  : 0.9871547177693071, 0.9310973207249803
IOU img(a32.png)  : 0.8314506006813699
Precision, Recall img(a32.png)  : 0.9708961474036851, 0.8527031997057741
IOU img(b (134).png)  : 0.9335948604241288
Precision, Recall img(b (134).png)  : 0.9923853266453133, 0.9403309855122258
IOU img(a26.png)  : 0.9573926131758712
Precision, Recall img(a26.png)  : 0.978811553030303, 0.9776542917947505
IOU img(b (30).png)  : 0.9603699734401938
Precision, Recall img(b (30).png)  : 0.9847818815996942, 0.974837412794135
IOU img(b (22).png)  : 0.9509182127981826
Precision, Recall img(b (22).png)  : 0.9717533252720677, 0.9779497663551402
IOU img(b (101).png)  : 0.9291204492106595
Precision, Recall img(b (101).png)  : 0.9916003536693192, 0.9364910001855632
IOU img(a50.png)  : 0.8830241580543149
Precision, Recall img(a50.png)  : 0.9645655270655271, 0.9126288833479345
IOU img(a66.png)  : 0.9120626879848029
Precision, Recall img(a66.png)  : 0.9360175457597747, 0.9727060412504572
IOU img(a76.png)  : 0.9646948062137141
Precision, Recall img(a76.png)  : 0.9805031697300746, 0.9835619725632924
IOU img(a19.png)  : 0.921015709910088
Precision, Recall img(a19.png)  : 0.9847870182555781, 0.9343089104941366
IOU img(a36.png)  : 0.9564905784334219
Precision, Recall img(a36.png)  : 0.9655733751356566, 0.9902612459421858
IOU img(b (25).png)  : 0.9514685584529304
Precision, Recall img(b (25).png)  : 0.9677998852691646, 0.9825736443613402
IOU img(b (62).png)  : 0.9527888490079933
Precision, Recall img(b (62).png)  : 0.9860531893074451, 0.9658043347246713
IOU img(a29.png)  : 0.911584806410178
Precision, Recall img(a29.png)  : 0.9551076647013587, 0.9523916030290444
IOU img(a99.png)  : 0.7191558441558441
Precision, Recall img(a99.png)  : 0.9775652813534388, 0.7312242090784044
IOU img(b (89).png)  : 0.929143487435258
Precision, Recall img(b (89).png)  : 0.9824298970640434, 0.9448440662261345
IOU img(b (133).png)  : 0.8679156594144507
Precision, Recall img(b (133).png)  : 0.9578331110123017, 0.9023947497032745
IOU img(a51.png)  : 0.8881945571606341
Precision, Recall img(a51.png)  : 0.9594961863292323, 0.9227937043282743
IOU img(b (96).png)  : 0.8595235551757291
Precision, Recall img(b (96).png)  : 0.9821177906621911, 0.8731889956047534
IOU img(b (73).png)  : 0.9492650010034116
Precision, Recall img(b (73).png)  : 0.9694372926513725, 0.9785498176928448
IOU img(b (92).png)  : 0.8984153263954588
Precision, Recall img(b (92).png)  : 0.9536781320612604, 0.9394089279089898
IOU img(b (44).png)  : 0.9511081055429005
Precision, Recall img(b (44).png)  : 0.9765625951687761, 0.9733257248312369
IOU img(b (118).png)  : 0.9012763488686908
Precision, Recall img(b (118).png)  : 0.9622174047692784, 0.9343424218123496
IOU img(b (150).png)  : 0.8369642016015073
Precision, Recall img(b (150).png)  : 0.9879932581536376, 0.8455647260019332
IOU img(b (41).png)  : 0.9112067524653183
Precision, Recall img(b (41).png)  : 0.9356817986784519, 0.9720946819417822
IOU img(a54.png)  : 0.9241616922398942
Precision, Recall img(a54.png)  : 0.9618078719146097, 0.9593678519442712
IOU img(a47.png)  : 0.9519224777216926
Precision, Recall img(a47.png)  : 0.9744203106560776, 0.9763198261536495
IOU img(b (128).png)  : 0.9554745052722808
Precision, Recall img(b (128).png)  : 0.9882163999327719, 0.9664858546563658
IOU img(a69.png)  : 0.9236028124392074
Precision, Recall img(a69.png)  : 0.9619381168774783, 0.9586362062997577
IOU img(a25.png)  : 0.937213321810809
Precision, Recall img(a25.png)  : 0.9669421487603306, 0.9682370716296957
IOU img(b (50).png)  : 0.95093677748545
Precision, Recall img(b (50).png)  : 0.9847266482836055, 0.9651723579867293
IOU img(a68.png)  : 0.9502159340804918
Precision, Recall img(a68.png)  : 0.9787675345232247, 0.9702150683078588
IOU img(b (109).png)  : 0.9075672930421533
Precision, Recall img(b (109).png)  : 0.9805920577617329, 0.9241677781104548
IOU img(a48.png)  : 0.925
Precision, Recall img(a48.png)  : 0.9632465543644717, 0.9588414634146342
IOU img(b (95).png)  : 0.8211199272249456
Precision, Recall img(b (95).png)  : 0.9740707434052758, 0.8394688573716707
IOU img(a85.png)  : 0.9457961611246283
Precision, Recall img(a85.png)  : 0.9699196007762684, 0.9743768277398691
IOU img(b (126).png)  : 0.9530984204131228
Precision, Recall img(b (126).png)  : 0.9909670898869307, 0.9614512471655329
IOU img(a103.png)  : 0.952440097293381
Precision, Recall img(a103.png)  : 0.9767540600785479, 0.9745300503044745
IOU img(b (91).png)  : 0.9561309310742553
Precision, Recall img(b (91).png)  : 0.9910132739714733, 0.964493480441324
IOU img(b (120).png)  : 0.9184980748918191
Precision, Recall img(b (120).png)  : 0.9794353813174436, 0.9365597748671091
IOU img(b (2).png)  : 0.9602978364709188
Precision, Recall img(b (2).png)  : 0.9932287125835513, 0.9666261277823345
IOU img(b (16).png)  : 0.9425675675675675
Precision, Recall img(b (16).png)  : 0.9877155096116401, 0.9537483335042559
IOU img(a77.png)  : 0.9421065841211411
Precision, Recall img(a77.png)  : 0.9773194086845836, 0.9631646471846044
IOU img(a22.png)  : 0.8969480776852953
Precision, Recall img(a22.png)  : 0.9553763667834677, 0.9361684524055764
IOU img(a45.png)  : 0.9268762521189705
